x1,x2,y
-0.75,-2.81,2.4824
2.7,0.82,1.9128
1.39,-1.11,-2.276
0.59,0.05,0.4092
-2.06,2.45,-4.0847
-2.06,-1.5,4.0693
-2.65,-0.54,0.8162
2.2,1.53,3.96
0.61,-1.63,-0.1392
1.25,-2.54,-3.9489
-2.88,-1.26,4.2387
2.82,-2.03,-5.0295
1.99,2.58,6.1342
-1.73,1.85,-3.9324
-1.91,0.8,-0.9783
-1.9,2.23,-3.8243
-1.17,1.82,-3.1077
0.15,-1.88,0.3573
-0.41,2.36,-1.9081
-1.25,0.24,0.6903
0.67,1.84,0.9591
-2.16,2.38,-4.202
-1.25,-1.09,0.3625
-0.8,-2.34,1.6041
-0.26,-1.63,0.2524
1.71,-0.44,-1.6058
-1.8,1.91,-3.9973
0.09,2.16,-0.6758
0.55,-2.96,-0.6502
-2.72,0.06,-0.511
0.65,-0.5,0.1762
-1.98,-1.67,4.3013
-2.61,-2.28,5.2872
2.69,-0.97,-2.4227
2.79,2.66,7.5908
1.85,-1.06,-2.9448
-1.17,0.11,0.807
-2.41,1.22,-3.622
1.11,-0.82,-1.1091
-0.36,2.83,-1.6262
-2.27,2.77,-5.8126
-0.03,-1.49,0.5901
-2.79,-0.02,-0.6067
2.46,-1.19,-2.8716
-1.45,-1.29,1.2474
0.98,-2.78,-2.6489
-1.13,0.66,-0.0833
0.12,0.02,0.7618
0.28,-2.69,-0.2872
-1.89,-1.33,2.9491
2.82,2.45,7.3907
1.65,-1.56,-3.5697
2.64,-2.13,-4.7104
2.37,-0.06,-1.1352
0.59,2.91,1.0114
2.53,-1.55,-3.2326
-2.47,1.03,-2.648
-1.82,1.57,-3.8567
-2.73,-1.57,4.1255
-1.05,1.37,-2.1263
-0.67,-0.79,0.681
-1.37,0.79,-0.6049
1.97,0.8,1.3832
-0.86,0.21,0.8143
-1.31,-2.46,4.213
0.26,2.01,-0.1571
-2.15,-1.08,2.5876
1.81,-1.88,-4.1263
-2.55,-2.76,7.7424
2.92,0.55,0.8456
1.63,1.07,1.7882
-1.81,-2.9,4.2497
-2.97,0.07,-0.731
1.89,-1.64,-3.8114
1.24,0.87,1.0476
1.37,-1.95,-3.5588
1.63,1.15,1.9689
-2.56,-0.68,1.443
-0.85,2.62,-2.3711
-2.3,-2.17,4.1305
2.18,-0.95,-2.816
0.74,-2.32,-0.9569
-1.01,2.55,-2.6016
-2.62,2.26,-4.9326
-1.13,-1.45,0.7639
-1.05,0.96,-0.9261
1.38,1.9,2.9574
0.83,0.33,0.3876
2.32,0.18,-0.4655
-0.17,-1.55,0.4209
-2.28,-2.44,4.6043
1.28,2.38,3.4233
1.56,2.4,4.4501
0.37,0.8,0.4217
1.63,-0.97,-2.5272
-0.04,-0.9,0.955
0.14,1.36,-0.1143
-0.43,2.38,-1.9434
-2.85,2.32,-5.6795
-2.35,1.68,-4.7082
