x1,x2,y
-0.75,-2.81,0.7649
2.7,0.82,0.803
1.39,-1.11,1.5491
0.59,0.05,3.4034
-2.06,2.45,0.6533
-2.06,-1.5,0.9419
-2.65,-0.54,0.8589
2.2,1.53,0.8714
0.61,-1.63,1.5908
1.25,-2.54,0.7989
-2.88,-1.26,0.6733
2.82,-2.03,0.5685
1.99,2.58,0.6341
-1.73,1.85,0.9506
-1.91,0.8,1.2722
-1.9,2.23,0.7559
-1.17,1.82,1.1974
0.15,-1.88,1.4397
-0.41,2.36,1.0339
-1.25,0.24,2.2099
0.67,1.84,1.3712
-2.16,2.38,0.6488
-1.25,-1.09,1.684
-0.8,-2.34,0.9858
-0.26,-1.63,1.6933
1.71,-0.44,1.5632
-1.8,1.91,0.9001
0.09,2.16,1.1987
0.55,-2.96,0.7231
-2.72,0.06,0.8509
0.65,-0.5,2.9935
-1.98,-1.67,0.9186
-2.61,-2.28,0.571
2.69,-0.97,0.7861
2.79,2.66,0.4745
1.85,-1.06,1.2221
-1.17,0.11,2.3662
-2.41,1.22,0.8605
1.11,-0.82,2.0489
-0.36,2.83,0.7891
-2.27,2.77,0.5396
-0.03,-1.49,1.8953
-2.79,-0.02,0.8176
2.46,-1.19,0.845
-1.45,-1.29,1.3873
0.98,-2.78,0.7484
-1.13,0.66,2.1549
0.12,0.02,3.9706
0.28,-2.69,0.8589
-1.89,-1.33,1.0898
2.82,2.45,0.5014
1.65,-1.56,1.1179
2.64,-2.13,0.5923
2.37,-0.06,1.0498
0.59,2.91,0.7396
2.53,-1.55,0.7405
-2.47,1.03,0.8732
-1.82,1.57,1.0286
-2.73,-1.57,0.6713
-1.05,1.37,1.6066
-0.67,-0.79,2.6033
-1.37,0.79,1.7774
1.97,0.8,1.2268
-0.86,0.21,2.8739
-1.31,-2.46,0.819
0.26,2.01,1.3098
-2.15,-1.08,1.0271
1.81,-1.88,0.908
-2.55,-2.76,0.4963
2.92,0.55,0.7388
1.63,1.07,1.3789
-1.81,-2.9,0.5845
-2.97,0.07,0.739
1.89,-1.64,0.9683
1.24,0.87,1.8628
1.37,-1.95,1.0417
1.63,1.15,1.3379
-2.56,-0.68,0.8873
-0.85,2.62,0.8345
-2.3,-2.17,0.6667
2.18,-0.95,1.0451
0.74,-2.32,1.0088
-1.01,2.55,0.8401
-2.62,2.26,0.5726
-1.13,-1.45,1.4872
-1.05,0.96,1.988
1.38,1.9,1.0646
0.83,0.33,2.8594
2.32,0.18,1.0789
-0.17,-1.55,1.8053
-2.28,-2.44,0.6083
1.28,2.38,0.86
1.56,2.4,0.7848
0.37,0.8,2.8809
1.63,-0.97,1.4291
-0.04,-0.9,2.8454
0.14,1.36,2.0676
-0.43,2.38,1.0192
-2.85,2.32,0.516
-2.35,1.68,0.7733
