x1,x2,y
0.05,0.05,0.2995
0.05,0.15,0.2965
0.05,0.25,0.2906
0.05,0.35,0.2817
0.05,0.45,0.27
0.05,0.55,0.2557
0.05,0.65,0.2387
0.05,0.75,0.2194
0.05,0.85,0.1979
0.05,0.95,0.1744
0.05,1.05,0.1492
0.05,1.15,0.1225
0.05,1.25,0.0946
0.05,1.35,0.0657
0.05,1.45,0.0361
0.05,1.55,0.0062
0.05,1.65,-0.0237
0.05,1.75,-0.0535
0.05,1.85,-0.0826
0.05,1.95,-0.111
0.05,2.05,-0.1383
0.05,2.15,-0.1641
0.05,2.25,-0.1884
0.05,2.35,-0.2107
0.05,2.45,-0.231
0.05,2.55,-0.2489
0.05,2.65,-0.2644
0.05,2.75,-0.2772
0.05,2.85,-0.2872
0.05,2.95,-0.2944
0.05,3.05,-0.2986
0.05,3.15,-0.2999
0.05,3.25,-0.2981
0.05,3.35,-0.2934
0.05,3.45,-0.2857
0.05,3.55,-0.2752
0.05,3.65,-0.2619
0.05,3.75,-0.2461
0.05,3.85,-0.2277
0.05,3.95,-0.2071
0.05,4.05,-0.1844
0.05,4.15,-0.1599
0.05,4.25,-0.1338
0.05,4.35,-0.1063
0.05,4.45,-0.0778
0.05,4.55,-0.0485
0.05,4.65,-0.0187
0.05,4.75,0.0113
0.05,4.85,0.0411
0.05,4.95,0.0706
0.05,5.05,0.0993
0.05,5.15,0.1271
0.05,5.25,0.1536
0.05,5.35,0.1785
0.05,5.45,0.2017
0.05,5.55,0.2228
0.05,5.65,0.2417
0.05,5.75,0.2583
0.05,5.85,0.2722
0.05,5.95,0.2834
0.15,0.05,0.8955
0.15,0.15,0.8866
0.15,0.25,0.8688
0.15,0.35,0.8423
0.15,0.45,0.8074
0.15,0.55,0.7644
0.15,0.65,0.7138
0.15,0.75,0.6561
0.15,0.85,0.5918
0.15,0.95,0.5216
0.15,1.05,0.4461
0.15,1.15,0.3663
0.15,1.25,0.2827
0.15,1.35,0.1964
0.15,1.45,0.108
0.15,1.55,0.0186
0.15,1.65,-0.0709
0.15,1.75,-0.1598
0.15,1.85,-0.2471
0.15,1.95,-0.3319
0.15,2.05,-0.4134
0.15,2.15,-0.4908
0.15,2.25,-0.5632
0.15,2.35,-0.6301
0.15,2.45,-0.6906
0.15,2.55,-0.7442
0.15,2.65,-0.7905
0.15,2.75,-0.8288
0.15,2.85,-0.8588
0.15,2.95,-0.8802
0.15,3.05,-0.8929
0.15,3.15,-0.8966
0.15,3.25,-0.8914
0.15,3.35,-0.8772
0.15,3.45,-0.8543
0.15,3.55,-0.8229
0.15,3.65,-0.7832
0.15,3.75,-0.7357
0.15,3.85,-0.6809
0.15,3.95,-0.6193
0.15,4.05,-0.5514
0.15,4.15,-0.4781
0.15,4.25,-0.4
0.15,4.35,-0.3179
0.15,4.45,-0.2326
0.15,4.55,-0.145
0.15,4.65,-0.0559
0.15,4.75,0.0337
0.15,4.85,0.123
0.15,4.95,0.211
0.15,5.05,0.297
0.15,5.15,0.38
0.15,5.25,0.4592
0.15,5.35,0.5337
0.15,5.45,0.603
0.15,5.55,0.6662
0.15,5.65,0.7228
0.15,5.75,0.7722
0.15,5.85,0.8138
0.15,5.95,0.8473
0.25,0.05,1.4826
0.25,0.15,1.4678
0.25,0.25,1.4383
0.25,0.35,1.3944
0.25,0.45,1.3366
0.25,0.55,1.2655
0.25,0.65,1.1817
0.25,0.75,1.0861
0.25,0.85,0.9797
0.25,0.95,0.8635
0.25,1.05,0.7386
0.25,1.15,0.6064
0.25,1.25,0.4681
0.25,1.35,0.3251
0.25,1.45,0.1789
0.25,1.55,0.0309
0.25,1.65,-0.1174
0.25,1.75,-0.2646
0.25,1.85,-0.4091
